Strategy,Model,Bets Placed,Win %,Total Staked,Net Profit,ROI,Sharpe,Max Drawdown
Flat,RandomForest_Prediction,369,57.72357723577236,369.0,1.190000000000012,0.011900000000000119,0.21038963285263534,0.11990147783251233
Flat,LogisticRegression_Prediction,369,56.91056910569105,369.0,-1.3999999999999773,-0.013999999999999773,0.06960722697388813,0.13657248997947014
Flat,XGBoost_Prediction,369,55.55555555555556,369.0,-4.379999999999953,-0.04379999999999953,-0.10311554274980939,0.20219679633867255
Flat,SVM_Prediction,369,56.36856368563685,369.0,17.110000000000042,0.17110000000000042,0.9017391865366399,0.17620035566093648
Flat,KNN_Prediction,369,55.28455284552846,369.0,-12.269999999999953,-0.12269999999999953,-0.522286893148542,0.16746987951807166
Flat,NaiveBayes_Prediction,369,50.67750677506775,369.0,-1.0799999999999557,-0.010799999999999556,0.11093038722010123,0.24676453544523871
Flat,LightGBM_Prediction,369,54.47154471544715,369.0,6.340000000000046,0.06340000000000046,0.46367311028292757,0.13121791880541298
Flat,CatBoost_Prediction,369,58.80758807588076,369.0,13.720000000000027,0.13720000000000027,0.8370750776512175,0.11052477279390183
Flat,Voting_Prediction,369,58.80758807588076,369.0,19.19000000000004,0.1919000000000004,1.2413522527731549,0.10184305529165862
Threshold,RandomForest_Prediction,132,75.0,132.0,10.930000000000092,0.10930000000000092,1.650119325806495,0.04090280976508518
Threshold,LogisticRegression_Prediction,134,74.6268656716418,134.0,9.99000000000008,0.09990000000000081,1.3562557423301658,0.03996954701180054
Threshold,XGBoost_Prediction,259,63.32046332046332,259.0,12.100000000000037,0.12100000000000037,1.0297212806304794,0.1058970470157909
Threshold,SVM_Prediction,29,68.96551724137932,29.0,-0.2799999999999869,-0.0027999999999998694,-0.056050709255617934,0.03172737955346659
Threshold,KNN_Prediction,159,70.44025157232704,159.0,11.180000000000078,0.11180000000000077,1.3509825628657897,0.057997118155619566
Threshold,NaiveBayes_Prediction,364,50.824175824175825,364.0,-0.7099999999999653,-0.0070999999999996535,0.13030480528422575,0.2487209759937035
Threshold,LightGBM_Prediction,234,59.401709401709404,234.0,-1.0599999999999312,-0.010599999999999311,-0.010548332952718398,0.12466051059206945
Threshold,CatBoost_Prediction,132,69.6969696969697,132.0,0.41000000000008185,0.004100000000000818,0.09323136961484584,0.06245113369820157
Threshold,Voting_Prediction,168,74.40476190476191,168.0,15.910000000000082,0.15910000000000082,2.0594576728077683,0.05371291689699634
Value,RandomForest_Prediction,161,54.037267080745345,161.0,4.8700000000000045,0.04870000000000005,0.4406849315723331,0.11023856858846895
Value,LogisticRegression_Prediction,181,55.24861878453039,181.0,1.5099999999999767,0.015099999999999766,0.17469726544331649,0.08745209786774076
Value,XGBoost_Prediction,324,55.8641975308642,324.0,4.190000000000026,0.04190000000000026,0.39582859988169977,0.15023186630501356
Value,SVM_Prediction,131,36.6412213740458,131.0,3.499999999999943,0.034999999999999434,0.28239421444279283,0.1921850079744818
Value,KNN_Prediction,220,46.36363636363636,220.0,-20.220000000000013,-0.20220000000000013,-1.1428149036678663,0.21726071285542656
Value,NaiveBayes_Prediction,368,50.54347826086957,368.0,-1.8099999999999596,-0.018099999999999596,0.07921447436056436,0.25381495074367416
Value,LightGBM_Prediction,307,53.420195439739416,307.0,11.840000000000032,0.11840000000000032,0.701527484272824,0.12575700227100675
Value,CatBoost_Prediction,167,53.293413173652695,167.0,9.849999999999994,0.09849999999999995,0.8377976794506609,0.11155338839685536
Value,Voting_Prediction,222,56.30630630630631,222.0,21.31999999999998,0.21319999999999978,1.707016801543665,0.07857347191761224
Kelly,RandomForest_Prediction,161,54.037267080745345,747.4855176984017,61.283710479059835,0.6128371047905984,1.1893365280779034,0.28936960447397103
Kelly,LogisticRegression_Prediction,181,55.24861878453039,945.3863474948444,0.13195311598285286,0.0013195311598285285,0.4479378480344865,0.6044343061137456
Kelly,XGBoost_Prediction,324,55.8641975308642,6268.711288223848,74.19738144184493,0.7419738144184492,1.3703991979997305,0.9094079551862798
Kelly,SVM_Prediction,131,36.6412213740458,1025.6213360716583,4.116431997524899,0.041164319975248984,0.5879253926697312,0.7703215547575317
Kelly,KNN_Prediction,220,46.36363636363636,916.1019491603063,-67.236343868681,-0.67236343868681,-0.3352117855846376,0.7717714345167177
Kelly,NaiveBayes_Prediction,79,49.36708860759494,669.7106859072394,-100.0,-1.0,-0.2424535359221118,1.0
Kelly,LightGBM_Prediction,307,53.420195439739416,1140.2811503052887,-80.69144127650671,-0.806914412765067,0.6360310880131625,0.9594514857563741
Kelly,CatBoost_Prediction,167,53.293413173652695,678.3282336842144,83.14904352811232,0.8314904352811232,1.3795855523654657,0.34227593431485487
Kelly,Voting_Prediction,222,56.30630630630631,1426.68200828309,133.6329280159542,1.336329280159542,1.5200212221788458,0.5284136740440516
