iter	MultiClass
0	1.079294807
1	1.062823815
2	1.047952748
3	1.032251722
4	1.013981669
5	0.9985014454
6	0.9843421436
7	0.9701491886
8	0.9575078425
9	0.9446423201
10	0.9332553586
11	0.9217664137
12	0.9113619119
13	0.8998784316
14	0.8894080901
15	0.8786521279
16	0.8685630029
17	0.8579083983
18	0.8476266202
19	0.8379769451
20	0.8281430542
21	0.8194700107
22	0.8113182004
23	0.8023071758
24	0.7940906083
25	0.7859082367
26	0.7779428332
27	0.7692712578
28	0.7611615641
29	0.7529276504
30	0.7451701097
31	0.7376581765
32	0.7299600308
33	0.7221657119
34	0.7153090214
35	0.7082595195
36	0.7013188771
37	0.6942358772
38	0.6875729776
39	0.6807391982
40	0.6739104249
41	0.6673717307
42	0.6609254656
43	0.6544611881
44	0.6485703442
45	0.6421604322
46	0.6360185551
47	0.6300330043
48	0.6240989757
49	0.6180239151
50	0.6119005604
51	0.6063438588
52	0.6012176294
53	0.5955858332
54	0.5904166234
55	0.5841699181
56	0.5782792092
57	0.5727352718
58	0.5674791239
59	0.5619862798
60	0.5566784195
61	0.551267843
62	0.5456164667
63	0.540694836
64	0.5356314543
65	0.5307056357
66	0.5256873829
67	0.521410588
68	0.5165900537
69	0.5123753048
70	0.5075865875
71	0.502946042
72	0.4997602147
73	0.4952395878
74	0.4906912589
75	0.4861973493
76	0.4821098702
77	0.4777593162
78	0.4732016097
79	0.469055839
80	0.4647872736
81	0.4607039778
82	0.4567907541
83	0.4534095386
84	0.4495468205
85	0.4457362735
86	0.4417876377
87	0.4382443104
88	0.4343369304
89	0.4305542043
90	0.4268587229
91	0.4234672284
92	0.4197207934
93	0.4160271077
94	0.4131401012
95	0.4097907078
96	0.4065345156
97	0.4029966447
98	0.3996755915
99	0.3963927897
100	0.3932020595
101	0.3899358318
102	0.3867948468
103	0.3834923387
104	0.3806611875
105	0.37770224
106	0.3749337893
107	0.3719162234
108	0.3689591201
109	0.3659802137
110	0.3631532623
111	0.3608310856
112	0.3584714945
113	0.3556833729
114	0.3529032286
115	0.3502747274
116	0.347434472
117	0.3447960266
118	0.3423452367
119	0.3396282171
120	0.3369817313
121	0.3344329549
122	0.331942155
123	0.3298548195
124	0.3275173444
125	0.3250469738
126	0.3225989758
127	0.3204361625
128	0.3181860275
129	0.3159029483
130	0.3136898222
131	0.3115392895
132	0.3093184747
133	0.3070158998
134	0.3047763552
135	0.3026585198
136	0.3005965185
137	0.298439984
138	0.2964668641
139	0.2945097345
140	0.2924674658
141	0.2903803674
142	0.2885767053
143	0.2865178941
144	0.284465262
145	0.2830556124
146	0.2811560858
147	0.279429678
148	0.2775278212
149	0.2758156652
150	0.2738881598
151	0.2721076604
152	0.2702624169
153	0.2684047449
154	0.2666734329
155	0.2649635914
156	0.263390055
157	0.2615844116
158	0.2599586888
159	0.2583377093
160	0.2568113284
161	0.2552458123
162	0.2538543475
163	0.2523404758
164	0.2507214012
165	0.2492442805
166	0.2476764429
167	0.2460958921
168	0.2445983973
169	0.2430014955
170	0.241539438
171	0.2401709499
172	0.2388575009
173	0.2373537477
174	0.2359237561
175	0.2345829044
176	0.2332001585
177	0.2318464542
178	0.2303914063
179	0.2289986333
180	0.2277275475
181	0.2263773541
182	0.2249845076
